;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
963;2016-04-02;2016-04-06;5;176,72879566946466;101,0
964;2016-04-02;2016-04-07;6;156,20190898351925;96,0
965;2016-04-02;2016-04-08;7;157,71146278312537;93,0
966;2016-04-09;2016-04-09;1;167,22315793201116;89,0
967;2016-04-09;2016-04-10;2;152,34590839203898;86,0
968;2016-04-09;2016-04-11;3;134,39442085693727;83,0
969;2016-04-09;2016-04-12;4;131,64083677434604;80,0
970;2016-04-09;2016-04-13;5;137,23428217194873;78,0
971;2016-04-09;2016-04-14;6;124,12025300445754;77,0
972;2016-04-09;2016-04-15;7;126,22638139665202;75,0
973;2016-04-16;2016-04-16;1;114,38905488460549;74,0
974;2016-04-16;2016-04-17;2;106,17063288404078;72,0
975;2016-04-16;2016-04-18;3;101,20461943373861;70,0
976;2016-04-16;2016-04-19;4;96,02988274712243;69,0
977;2016-04-16;2016-04-20;5;95,13953345740941;68,0
978;2016-04-16;2016-04-21;6;87,65785849388527;67,0
979;2016-04-16;2016-04-22;7;89,58471687625229;66,0
980;2016-04-23;2016-04-23;1;82,92967608296871;65,0
981;2016-04-23;2016-04-24;2;79,6685229767448;64,0
982;2016-04-23;2016-04-25;3;78,05591210523819;63,0
983;2016-04-23;2016-04-26;4;77,04969046314741;62,0
984;2016-04-23;2016-04-27;5;75,02597455778165;62,0
985;2016-04-23;2016-04-28;6;74,00432247364145;62,0
986;2016-04-23;2016-04-29;7;72,22423370650185;63,0
987;2016-04-30;2016-04-30;1;69,76241912123766;64,0
988;2016-04-30;2016-05-01;2;68,88146021599896;65,0
989;2016-04-30;2016-05-02;3;68,04539195286311;65,0
990;2016-04-30;2016-05-03;4;67,31001537554698;64,0
991;2016-04-30;2016-05-04;5;65,92481296152033;63,0
992;2016-04-30;2016-05-05;6;65,6140585258707;62,0
993;2016-04-30;2016-05-06;7;63,21838846994367;61,0
994;2016-05-07;2016-05-07;1;62,97234046066667;60,0
995;2016-05-07;2016-05-08;2;61,78955328827899;59,0
996;2016-05-07;2016-05-09;3;61,61031304197632;59,0
997;2016-05-07;2016-05-10;4;61,86314258975916;58,0
998;2016-05-07;2016-05-11;5;62,28186324072117;58,0
999;2016-05-07;2016-05-12;6;64,5835781305803;58,0
1000;2016-05-07;2016-05-13;7;64,71813927953116;57,0
1001;2016-05-14;2016-05-14;1;65,13965052089323;57,0
1002;2016-05-14;2016-05-15;2;65,00252985666026;57,0
1003;2016-05-14;2016-05-16;3;64,04515938382256;57,0
1004;2016-05-14;2016-05-17;4;62,07142664835826;56,0
1005;2016-05-14;2016-05-18;5;61,63628725405232;57,0
1006;2016-05-14;2016-05-19;6;60,157215660953774;58,0
1007;2016-05-14;2016-05-20;7;59,983435656907325;60,0
1008;2016-05-21;2016-05-21;1;58,14318897588735;60,0
1009;2016-05-21;2016-05-22;2;57,61201617431793;60,0
1010;2016-05-21;2016-05-23;3;58,421504898962766;59,0
1011;2016-05-21;2016-05-24;4;57,22222093205735;58,0
1012;2016-05-21;2016-05-25;5;57,20001503603694;57,0
1013;2016-05-21;2016-05-26;6;56,44697901050909;56,0
1014;2016-05-21;2016-05-27;7;57,48712973878255;56,0
1015;2016-05-28;2016-05-28;1;57,01175967523891;55,0
1016;2016-05-28;2016-05-29;2;55,70529178987628;55,0
1017;2016-05-28;2016-05-30;3;57,21878592514103;55,0
1018;2016-05-28;2016-05-31;4;59,035304202653286;55,0
1019;2016-05-28;2016-06-01;5;60,17444015369139;56,0
1020;2016-05-28;2016-06-02;6;58,94602707102122;59,0
1021;2016-05-28;2016-06-03;7;61,14962608062804;68,0
1022;2016-06-04;2016-06-04;1;59,56630476870261;78,0
1023;2016-06-04;2016-06-05;2;57,73583327695965;82,0
1024;2016-06-04;2016-06-06;3;55,371724880838705;83,0
1025;2016-06-04;2016-06-07;4;54,197751909217146;83,0
1026;2016-06-04;2016-06-08;5;52,12871871074278;88,0
1027;2016-06-04;2016-06-09;6;53,49009388593496;93,0
1028;2016-06-04;2016-06-10;7;56,425530866534864;94,0
1029;2016-06-11;2016-06-11;1;56,69909079367016;83,0
1030;2016-06-11;2016-06-12;2;54,28931720139253;75,0
1031;2016-06-11;2016-06-13;3;56,06865555290238;69,0
1032;2016-06-11;2016-06-14;4;59,44579610366518;65,0
1033;2016-06-11;2016-06-15;5;68,72845389748876;61,0
1034;2016-06-11;2016-06-16;6;76,04294147792535;59,0
