;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
359;2014-04-19;2014-04-28;10;57,16322237215242;49,0
360;2014-04-26;2014-04-26;1;51,81727603203596;51,0
361;2014-04-26;2014-04-27;2;54,02492215853348;50,0
362;2014-04-26;2014-04-28;3;56,95303391089463;49,0
363;2014-04-26;2014-04-29;4;62,10183122510844;48,0
364;2014-04-26;2014-04-30;5;69,61251687566607;47,0
365;2014-04-26;2014-05-01;6;68,37811171738765;45,0
366;2014-04-26;2014-05-02;7;60,373846924977805;45,0
367;2014-04-26;2014-05-03;8;58,04790194536537;44,0
368;2014-04-26;2014-05-04;9;57,4162014205231;43,0
369;2014-04-26;2014-05-05;10;53,738972896774136;42,0
370;2014-05-03;2014-05-03;1;57,944983790032275;44,0
371;2014-05-03;2014-05-04;2;57,25852745721924;43,0
372;2014-05-03;2014-05-05;3;53,63530639692477;42,0
373;2014-05-03;2014-05-06;4;51,57959351204735;42,0
374;2014-05-03;2014-05-07;5;51,854438842214826;41,0
375;2014-05-03;2014-05-08;6;51,24928824597509;41,0
376;2014-05-03;2014-05-09;7;49,95017957020123;41,0
377;2014-05-03;2014-05-10;8;49,19883630994149;40,0
378;2014-05-03;2014-05-11;9;48,6506214814982;40,0
379;2014-05-03;2014-05-12;10;46,444584220667885;40,0
380;2014-05-10;2014-05-10;1;48,91116183056335;40,0
381;2014-05-10;2014-05-11;2;48,109725118216836;40,0
382;2014-05-10;2014-05-12;3;46,693245913482095;40,0
383;2014-05-10;2014-05-13;4;45,32209569385447;39,0
384;2014-05-10;2014-05-14;5;45,05373367623678;39,0
385;2014-05-10;2014-05-15;6;44,17481846865986;39,0
386;2014-05-10;2014-05-16;7;43,670519829583746;39,0
387;2014-05-10;2014-05-17;8;42,79207338663917;38,0
388;2014-05-10;2014-05-18;9;42,86577849315954;38,0
389;2014-05-10;2014-05-19;10;41,23320323972842;38,0
390;2014-05-17;2014-05-17;1;42,58300926051861;38,0
391;2014-05-17;2014-05-18;2;42,554583042191204;38,0
392;2014-05-17;2014-05-19;3;41,380624608998644;38,0
393;2014-05-17;2014-05-20;4;41,21849452546211;38,0
394;2014-05-17;2014-05-21;5;40,96568335932663;38,0
395;2014-05-17;2014-05-22;6;39,97051366508726;38,0
396;2014-05-17;2014-05-23;7;40,17098258146546;38,0
397;2014-05-17;2014-05-24;8;40,26838015625033;38,0
398;2014-05-17;2014-05-25;9;39,84140666535405;37,0
399;2014-05-17;2014-05-26;10;38,619720337593854;37,0
400;2014-05-24;2014-05-24;1;40,15965265238694;38,0
401;2014-05-24;2014-05-25;2;39,68195586340007;37,0
402;2014-05-24;2014-05-26;3;38,67709241695419;37,0
403;2014-05-24;2014-05-27;4;39,50088448906244;39,0
404;2014-05-24;2014-05-28;5;39,109198150196974;42,0
405;2014-05-24;2014-05-29;6;38,28268650525228;45,0
406;2014-05-24;2014-05-30;7;38,32296256367728;44,0
407;2014-05-24;2014-05-31;8;38,26136265856832;42,0
408;2014-05-24;2014-06-01;9;38,49158705615073;41,0
409;2014-05-24;2014-06-02;10;36,952329851088344;40,0
410;2014-05-31;2014-05-31;1;38,281862827370965;42,0
411;2014-05-31;2014-06-01;2;38,442828461966876;41,0
412;2014-05-31;2014-06-02;3;36,97431195239961;40,0
413;2014-05-31;2014-06-03;4;37,43408443759177;40,0
